Item ID,Item Name,Quality Type,Item Level,Item Requirement Level,Item Class ID,Item Subclass ID,Inventory Type Name,Is stackable,Is equipable
20859,Gold Scarab,Uncommon,1,0,12,12_0,Non-equippable,True,False
4361,Copper Tube,Common,10,0,7,7_1,Non-equippable,True,False
2592,Wool Cloth,Common,15,0,7,7_0,Non-equippable,True,False
3609,Plans: Copper Chain Vest,Uncommon,10,0,9,9_4,Non-equippable,False,False
20871,Obsidian Idol,Rare,61,0,12,12_0,Non-equippable,True,False
5640,Recipe: Rage Potion,Common,14,0,9,9_6,Non-equippable,False,False
4240,Woolen Bag,Common,15,0,1,1_0,Bag,False,True
11610,Plans: Dark Iron Pulverizer,Rare,53,0,9,9_4,Non-equippable,False,False
2728,Green Hills of Stranglethorn - Page 4,Common,1,0,15,15_0,Non-equippable,True,False
5504,Tangy Clam Meat,Common,23,0,7,7_0,Non-equippable,True,False
9999,Black Mageweave Leggings,Uncommon,41,36,4,4_1,Legs,False,True
4319,Azure Silk Gloves,Uncommon,29,24,4,4_1,Hands,False,True
11018,Un'Goro Soil,Common,1,0,15,15_0,Non-equippable,True,False
8766,Morning Glory Dew,Common,55,45,0,0_0,Non-equippable,True,False
2730,Green Hills of Stranglethorn - Page 6,Common,1,0,15,15_0,Non-equippable,True,False
8171,Rugged Hide,Common,50,0,7,7_0,Non-equippable,True,False
4087,Trueshot Bow,Uncommon,41,36,2,2_2,Ranged,False,True
20862,Crystal Scarab,Uncommon,1,0,12,12_0,Non-equippable,True,False
16043,Schematic: Thorium Rifle,Uncommon,52,0,9,9_3,Non-equippable,False,False
15737,Pattern: Chimeric Boots,Uncommon,55,0,9,9_1,Non-equippable,False,False
4234,Heavy Leather,Common,30,0,7,7_0,Non-equippable,True,False
10713,Plans: Inlaid Mithril Cylinder,Common,40,0,9,9_4,Non-equippable,False,False
15259,Hefty Battlehammer,Uncommon,25,20,2,2_5,Two-Hand,False,True
3202,Forest Leather Bracers,Uncommon,24,19,4,4_2,Wrist,False,True
20861,Bronze Scarab,Uncommon,1,0,12,12_0,Non-equippable,True,False
9294,Recipe: Wildvine Potion,Uncommon,45,0,9,9_6,Non-equippable,False,False
21309,Snowman Kit,Common,1,0,15,15_0,Non-equippable,False,False
10050,Mageweave Bag,Common,35,0,1,1_0,Bag,False,True
7909,Aquamarine,Uncommon,45,0,7,7_0,Non-equippable,True,False
873,Staff of Jordan,Epic,40,35,2,2_10,Two-Hand,False,True
2744,Green Hills of Stranglethorn - Page 20,Common,1,0,15,15_0,Non-equippable,True,False
7065,Green Silk Armor,Uncommon,33,28,4,4_1,Chest,False,True
2277,Necromancer Leggings,Rare,35,30,4,4_1,Legs,False,True
5503,Clam Meat,Common,14,0,7,7_0,Non-equippable,True,False
7992,Plans: Blue Glittering Axe,Uncommon,44,0,9,9_4,Non-equippable,False,False
20864,Bone Scarab,Uncommon,1,0,12,12_0,Non-equippable,True,False
14125,Ritual Leggings,Uncommon,21,16,4,4_1,Legs,False,True
13491,Recipe: Elixir of the Mongoose,Uncommon,56,0,9,9_6,Non-equippable,False,False
9856,Archer's Boots,Uncommon,36,31,4,4_2,Feet,False,True
2977,Veteran Armor,Uncommon,16,11,4,4_3,Chest,False,True
9327,Security DELTA Data Access Card,Uncommon,1,0,15,15_0,Non-equippable,False,False
5257,Dark Hooded Cape,Rare,37,32,4,4_1,Back,False,True
5498,Small Lustrous Pearl,Uncommon,15,0,7,7_0,Non-equippable,True,False
2725,Green Hills of Stranglethorn - Page 1,Common,1,0,15,15_0,Non-equippable,True,False
8152,Flask of Big Mojo,Common,40,0,7,7_0,Non-equippable,True,False
2750,Green Hills of Stranglethorn - Page 26,Common,1,0,15,15_0,Non-equippable,True,False
4306,Silk Cloth,Common,30,0,7,7_0,Non-equippable,True,False
2745,Green Hills of Stranglethorn - Page 21,Common,1,0,15,15_0,Non-equippable,True,False
20872,Vermillion Idol,Rare,61,0,12,12_0,Non-equippable,True,False
13477,Recipe: Superior Mana Potion,Common,52,0,9,9_6,Non-equippable,False,False
10103,Councillor's Sash,Uncommon,54,49,4,4_1,Waist,False,True
2735,Green Hills of Stranglethorn - Page 11,Common,1,0,15,15_0,Non-equippable,True,False
4398,Large Seaforium Charge,Common,40,0,7,7_2,Non-equippable,True,False
11139,Large Glowing Shard,Rare,35,0,7,7_0,Non-equippable,True,False
7057,Green Silken Shoulders,Uncommon,36,31,4,4_1,Shoulder,False,True
2447,Peacebloom,Common,5,0,7,7_0,Non-equippable,True,False
2633,Jungle Remedy,Common,32,22,0,0_0,Non-equippable,True,False
3036,Heavy Shortbow,Uncommon,15,10,2,2_2,Ranged,False,True
3857,Coal,Common,30,0,7,7_0,Non-equippable,True,False
15225,Sequoia Hammer,Uncommon,33,28,2,2_4,Main Hand,False,True
18661,Schematic: World Enlarger,Uncommon,52,0,9,9_3,Non-equippable,False,False
785,Mageroyal,Common,10,0,7,7_0,Non-equippable,True,False
20863,Clay Scarab,Uncommon,1,0,12,12_0,Non-equippable,True,False
2742,Green Hills of Stranglethorn - Page 18,Common,1,0,15,15_0,Non-equippable,True,False
2770,Copper Ore,Common,10,0,7,7_0,Non-equippable,True,False
2318,Light Leather,Common,10,0,7,7_0,Non-equippable,True,False
2549,Staff of the Shade,Rare,27,22,2,2_10,Two-Hand,False,True
2738,Green Hills of Stranglethorn - Page 14,Common,1,0,15,15_0,Non-equippable,True,False
2749,Green Hills of Stranglethorn - Page 25,Common,1,0,15,15_0,Non-equippable,True,False
10501,Catseye Ultra Goggles,Uncommon,44,0,4,4_1,Head,False,True
1997,Pressed Felt Robe,Uncommon,34,29,4,4_1,Chest,False,True
17057,Shiny Fish Scales,Common,1,0,15,15_0,Non-equippable,True,False
14927,Lofty Belt,Uncommon,52,47,4,4_4,Waist,False,True
20865,Ivory Scarab,Uncommon,1,0,12,12_0,Non-equippable,True,False
2997,Bolt of Woolen Cloth,Common,25,0,7,7_0,Non-equippable,True,False
8494,Parrot Cage (Hyacinth Macaw),Common,20,0,15,15_0,Non-equippable,False,False
4324,Azure Silk Vest,Uncommon,30,25,4,4_1,Chest,False,True
2748,Green Hills of Stranglethorn - Page 24,Common,1,0,15,15_0,Non-equippable,True,False
5974,Pattern: Guardian Cloak,Uncommon,37,0,9,9_1,Non-equippable,False,False
4238,Linen Bag,Common,5,0,1,1_0,Bag,False,True
4364,Coarse Blasting Powder,Common,15,0,7,7_1,Non-equippable,True,False
14466,Pattern: Frostweave Tunic,Uncommon,51,0,9,9_2,Non-equippable,False,False
7561,Schematic: Goblin Jumper Cables,Common,33,0,9,9_3,Non-equippable,False,False
2732,Green Hills of Stranglethorn - Page 8,Common,1,0,15,15_0,Non-equippable,True,False
783,Light Hide,Common,10,0,7,7_0,Non-equippable,True,False
10101,Councillor's Pants,Uncommon,58,53,4,4_1,Legs,False,True
